,date,open,high,low,close,volume
1356,2017-05-22,2611000.0,3290000.0,2593500.0,3104000.0,9814.819078289842
1357,2017-05-23,3091500.0,3318000.0,2930000.0,3157000.0,10829.77603461996
1358,2017-05-24,3160000.0,3585500.0,3095000.0,3518000.0,10092.89093130007
1359,2017-05-25,3518000.0,4800000.0,3518000.0,4759000.0,13209.983715899445
1360,2017-05-26,4758000.0,4766500.0,3240000.0,3514000.0,14345.865397059702
1361,2017-05-27,3520000.0,3637500.0,2510000.0,2804000.0,13438.620694969464
1362,2017-05-28,2803000.0,3420000.0,2760000.0,3022000.0,9628.281504120141
1363,2017-05-29,3022000.0,3195000.0,2912000.0,3087500.0,5135.038930040103
1364,2017-05-30,3087500.0,3350000.0,3067000.0,3140000.0,7032.913761330081
1365,2017-05-31,3140000.0,3209500.0,3002000.0,3004000.0,6112.846082020146
1366,2017-06-01,3004000.0,3210000.0,3003500.0,3122500.0,9079.780395020043
1367,2017-06-02,3122500.0,3154000.0,3055500.0,3080000.0,4811.628122760076
1368,2017-06-03,3083000.0,3200000.0,3006000.0,3105500.0,5896.39082659005
1369,2017-06-04,3105000.0,3153000.0,3055000.0,3069000.0,3757.75052830001
1370,2017-06-05,3070500.0,3100000.0,3050000.0,3096000.0,3909.7136361000216
1371,2017-06-06,3096000.0,3475000.0,3093000.0,3331000.0,14964.913009019903
1372,2017-06-07,3331000.0,3390000.0,3250000.0,3306000.0,7689.2860188600725
1373,2017-06-08,3306000.0,3306000.0,3157000.0,3213000.0,6600.97851043006
1374,2017-06-09,3211500.0,3336000.0,3200000.0,3310000.0,5499.698631250049
1375,2017-06-10,3309500.0,3336000.0,3244000.0,3305000.0,5803.2184915700045
1376,2017-06-11,3307500.0,3320000.0,3252000.0,3273500.0,6041.6056037900935
1377,2017-06-12,3273000.0,3396500.0,3210000.0,3270500.0,9469.723533850029
1378,2017-06-13,3271000.0,3350000.0,3085000.0,3238000.0,9163.8079167301
1379,2017-06-14,3230500.0,3239500.0,3101500.0,3150000.0,7870.097302910097
1380,2017-06-15,3153500.0,3154000.0,2700000.0,2873500.0,12911.299104609958
1381,2017-06-16,2873000.0,3088500.0,2777000.0,3020000.0,7009.730472780022
1382,2017-06-17,3023000.0,3217000.0,3016500.0,3154000.0,6513.44997634002
1383,2017-06-18,3154500.0,3247500.0,3119000.0,3153000.0,6722.489720230045
1384,2017-06-19,3153000.0,3225000.0,3145000.0,3196500.0,4900.433955910034
1385,2017-06-20,3197000.0,3299000.0,3190000.0,3296000.0,6607.515272580061
1386,2017-06-21,3295500.0,3570000.0,3294000.0,3443500.0,13095.771490190142
1387,2017-06-22,3444000.0,3486500.0,3301000.0,3451500.0,7368.338538170164
1388,2017-06-23,3451500.0,3490000.0,3400500.0,3449000.0,4613.659456750031
1389,2017-06-24,3445000.0,3478500.0,3321000.0,3396000.0,3228.155230249999
1390,2017-06-25,3396000.0,3435000.0,3270000.0,3415000.0,4325.059421270005
1391,2017-06-26,3416000.0,3445000.0,3266000.0,3266000.0,5601.357998410029
1392,2017-06-27,3266000.0,3300000.0,2892500.0,3001000.0,7237.560168680073
1393,2017-06-28,2934000.0,3200000.0,2934000.0,3090000.0,6101.446984740064
1394,2017-06-29,3089500.0,3181000.0,3040000.0,3064000.0,4502.391212779998
1395,2017-06-30,3063500.0,3125000.0,3062500.0,3091500.0,4437.295161240023
1396,2017-07-01,3090000.0,3122000.0,3012500.0,3044000.0,3379.228984480009
1397,2017-07-02,3043500.0,3080000.0,2930000.0,3001000.0,3158.7581986399973
1398,2017-07-03,3000000.0,3137000.0,2992000.0,3085000.0,4390.806226760014
1399,2017-07-04,3084500.0,3172500.0,3055000.0,3122500.0,5261.348732830026
1400,2017-07-05,3122500.0,3149500.0,3040000.0,3099500.0,4830.595269080013
1401,2017-07-06,3099500.0,3122000.0,3080000.0,3112500.0,3017.952507219999
1402,2017-07-07,3107000.0,3126500.0,3040000.0,3066500.0,3265.9822553400004
1403,2017-07-08,3066500.0,3090000.0,2960000.0,3067000.0,3127.5415477600027
1404,2017-07-09,3067000.0,3097000.0,3031000.0,3051000.0,2064.9316111600015
1405,2017-07-10,3051000.0,3069000.0,2990000.0,2998000.0,3042.6612745099906
1406,2017-07-11,2998000.0,3007000.0,2656500.0,2844000.0,8437.791701530063
1407,2017-07-12,2840000.0,2895000.0,2791000.0,2824500.0,3745.6397181799944
1408,2017-07-13,2827500.0,2960000.0,2807000.0,2828500.0,4795.209297879989
1409,2017-07-14,2835000.0,2850000.0,2600000.0,2729000.0,5267.0023776799935
1410,2017-07-15,2731000.0,2731000.0,2158000.0,2215500.0,8240.297450190059
1411,2017-07-16,2216000.0,2430000.0,1760000.0,2032000.0,9897.72925553002
1412,2017-07-17,2032000.0,2381500.0,2029000.0,2374500.0,8482.682984490033
1413,2017-07-18,2374500.0,2768500.0,2310000.0,2753000.0,11006.382409040112
1414,2017-07-19,2752500.0,2839000.0,2574500.0,2717500.0,9203.100277650128
1415,2017-07-20,2717500.0,2925000.0,2533000.0,2868500.0,9917.391774430045
1416,2017-07-21,2868500.0,3390000.0,2830500.0,3060000.0,20178.578283600007
1417,2017-07-22,3043000.0,3198500.0,2918000.0,3080000.0,9642.44401024003
1418,2017-07-23,3082500.0,3142000.0,2987000.0,3077500.0,7038.260387420051
1419,2017-07-24,3070000.0,3089000.0,3002000.0,3054000.0,4555.005869219999
1420,2017-07-25,3052000.0,3080000.0,2767500.0,2861000.0,8763.893876470042
1421,2017-07-26,2868000.0,2970000.0,2770500.0,2827500.0,6136.879664310045
1422,2017-07-27,2825500.0,2930000.0,2790500.0,2879500.0,4471.862568040008
1423,2017-07-28,2879500.0,3245000.0,2870500.0,3158000.0,12208.690329050109
